time_stamp,cpu_user,cpu_system,io_wait,io_read,io_write,await,util,node_name
12:18:17,1.76,0.58,0.03,0.00,0.06,19.82,0.27,object6
12:18:22,9.69,3.74,1.62,0.00,9.67,23.59,8.96,object6
12:18:27,3.85,1.28,16.05,0.00,0.01,2.00,65.28,object6
12:18:32,4.15,0.99,18.30,0.00,16.84,2374.27,77.20,object6
12:18:37,7.89,3.18,3.03,0.00,0.01,344.00,12.16,object6
12:18:42,11.65,4.35,1.43,0.00,4.85,17.39,5.68,object6
12:18:47,9.08,3.86,3.81,0.00,26.93,53.18,18.16,object6
12:18:52,3.50,1.28,22.67,0.00,0.00,0.00,100.00,object6
12:18:57,2.55,0.80,23.35,0.00,0.00,0.00,100.00,object6
12:19:02,74.52,6.70,4.08,0.00,0.01,3335.00,17.28,object6
12:19:07,87.17,12.83,0.00,0.00,5.09,32.58,1.68,object6
12:19:12,58.72,41.28,0.00,0.00,7.89,264.80,24.51,object6
12:19:17,67.49,32.51,0.00,0.00,0.03,12.00,0.72,object6
12:19:22,64.31,35.69,0.00,0.00,1.88,8.55,3.20,object6
12:19:27,53.20,11.66,2.08,0.01,23.83,21.31,18.48,object6
12:19:32,86.35,7.45,0.50,0.00,3.27,18.47,15.76,object6
12:19:37,92.30,6.99,0.00,0.00,0.12,166.29,23.20,object6
12:19:42,22.58,26.75,11.18,0.00,0.10,54.67,49.76,object6
12:19:48,38.79,34.79,0.91,0.00,0.83,296.92,35.87,object6
12:19:53,31.78,11.78,2.96,0.00,31.24,575.71,75.20,object6
12:19:58,6.12,3.44,1.42,0.00,8.67,1532.88,27.12,object6
12:20:03,0.25,0.05,0.85,0.00,0.02,96.00,55.20,object6
