time_stamp,cpu_user,cpu_system,io_wait,io_read,io_write,await,util,node_name
12:20:27,4.00,1.96,1.24,4.39,0.10,6.27,5.83,object8
12:20:32,8.34,3.49,1.92,0.00,2.46,19.42,9.28,object8
12:20:37,2.26,0.50,24.82,0.00,0.01,8.00,76.56,object8
12:20:42,2.39,1.07,42.01,0.00,15.82,2153.90,83.12,object8
12:20:47,15.45,3.76,0.20,0.00,0.01,2.00,0.16,object8
12:20:52,48.64,5.89,0.20,0.00,3.43,12.54,1.04,object8
12:20:57,12.70,4.30,6.71,0.00,24.94,170.62,31.04,object8
12:21:02,0.66,0.20,7.21,0.00,0.00,0.00,21.60,object8
12:21:07,2.87,0.55,29.72,0.00,0.02,1497.00,98.16,object8
12:21:12,2.06,0.50,0.00,0.00,0.00,0.00,0.00,object8
12:21:17,18.71,4.61,1.81,0.00,0.01,72.00,7.20,object8
12:21:22,50.81,5.67,0.38,0.00,1.89,21.67,3.76,object8
12:21:27,6.54,1.71,0.55,0.00,11.28,51.06,5.12,object8
12:21:32,38.64,4.63,1.58,0.00,3.22,18.08,16.40,object8
12:21:37,31.91,4.98,0.31,0.00,0.02,5.33,0.32,object8
12:21:42,40.93,7.37,1.34,0.00,6.47,123.88,29.44,object8
12:21:47,4.58,1.43,6.92,0.00,0.03,369.00,29.52,object8
12:21:52,3.98,1.46,0.00,0.00,0.01,2.00,7.84,object8
12:21:57,11.57,4.17,4.54,0.00,0.21,125.14,14.56,object8
12:22:02,12.58,3.72,1.68,0.00,17.16,55.10,9.92,object8
12:22:07,23.46,7.15,5.49,0.00,29.76,148.89,36.24,object8
12:22:12,3.46,0.90,22.53,0.00,0.01,4.00,93.20,object8
