time_stamp,cpu_user,cpu_system,io_wait,io_read,io_write,await,util,node_name
12:20:27,4.70,3.24,0.89,5.66,0.17,10.44,5.01,object1
12:20:32,11.30,5.37,3.53,1.56,4.14,250.59,11.36,object1
12:20:37,1.75,0.90,38.22,0.00,0.00,41.33,62.40,object1
12:20:42,1.52,0.56,73.32,0.00,21.30,4870.86,100.00,object1
12:20:47,8.64,5.89,56.00,1.64,6.56,856.68,65.28,object1
12:20:52,13.79,9.09,0.72,8.95,0.01,0.51,3.92,object1
12:20:57,8.53,6.06,29.14,1.56,14.59,73.69,44.96,object1
12:21:02,0.35,0.20,99.45,0.00,0.00,0.00,100.00,object1
12:21:07,2.35,0.70,88.68,0.00,2.50,7166.62,100.00,object1
12:21:12,2.16,0.85,59.83,0.03,18.71,7155.27,100.00,object1
12:21:17,18.30,10.36,8.10,1.88,2.37,406.93,12.00,object1
12:21:22,57.10,9.99,0.11,8.90,0.06,1.05,7.44,object1
12:21:27,31.59,7.52,0.15,9.57,0.02,0.88,6.56,object1
12:21:32,17.74,7.99,14.75,9.62,3.29,9.64,24.40,object1
12:21:37,36.11,10.91,0.46,9.56,0.03,0.76,5.84,object1
12:21:42,43.84,8.89,8.63,9.58,8.43,82.51,24.96,object1
12:21:47,81.18,10.95,5.75,2.22,28.15,1058.21,86.48,object1
12:21:52,4.18,1.51,94.11,0.08,3.50,1620.89,100.00,object1
12:21:57,33.59,8.36,18.01,10.16,2.06,307.16,34.64,object1
12:22:02,11.93,7.03,61.72,14.17,10.90,158.23,79.12,object1
12:22:07,28.19,20.35,4.06,9.96,0.03,1.59,11.20,object1
12:22:12,1.86,1.27,59.45,3.17,0.29,11.04,69.44,object1
