container_id@container_no@application_id@attempt_id@start_time@end_time@node_name@cpu_alloc@memory_alloc@container_status@duration
1460750106009_0001_01_000001@1_1@1460750106009_0001@1460750106009_0001_000001@20:19:38,716@20:19:39,401@object4@1@2048@ KILL@0.685
1460750106009_0001_02_000001@2_1@1460750106009_0001@1460750106009_0001_000002@20:19:39,675@20:19:39,718@object4@1@2048@ KILL@0.043
1460750106009_0002_01_000001@1_1@1460750106009_0002@1460750106009_0002_000001@20:21:26,139@20:21:26,434@object8@1@2048@ KILL@0.295
1460750106009_0002_02_000001@2_1@1460750106009_0002@1460750106009_0002_000002@20:21:26,677@20:21:27,065@object2@1@2048@ KILL@0.388
1460750106009_0003_01_000001@1_1@1460750106009_0003@1460750106009_0003_000001@20:36:39,408@20:37:51,323@object2@1@2048@ FINISHED@71.915
1460750106009_0003_01_000002@1_2@1460750106009_0003@1460750106009_0003_000001@20:36:47,437@20:36:58,747@object2@1@1024@ FINISHED@11.31
1460750106009_0003_01_000003@1_3@1460750106009_0003@1460750106009_0003_000001@20:36:48,438@20:37:00,289@object2@1@1024@ FINISHED@11.851
1460750106009_0003_01_000004@1_4@1460750106009_0003@1460750106009_0003_000001@20:36:49,445@20:37:02,914@object2@1@1024@ FINISHED@13.469
1460750106009_0003_01_000005@1_5@1460750106009_0003@1460750106009_0003_000001@20:36:50,443@20:37:02,387@object2@1@1024@ FINISHED@11.944
1460750106009_0003_01_000006@1_6@1460750106009_0003@1460750106009_0003_000001@20:36:51,446@20:37:02,709@object2@1@1024@ FINISHED@11.263
1460750106009_0003_01_000007@1_7@1460750106009_0003@1460750106009_0003_000001@20:36:52,447@20:37:03,919@object2@1@1024@ FINISHED@11.472
1460750106009_0003_01_000008@1_8@1460750106009_0003@1460750106009_0003_000001@20:36:53,847@20:37:00,865@object8@1@1024@ FINISHED@7.018
1460750106009_0003_01_000009@1_9@1460750106009_0003@1460750106009_0003_000001@20:36:54,854@20:37:01,862@object8@1@1024@ FINISHED@7.008
1460750106009_0003_01_000010@1_10@1460750106009_0003@1460750106009_0003_000001@20:36:55,875@20:37:02,116@object7@1@1024@ FINISHED@6.241
1460750106009_0003_01_000011@1_11@1460750106009_0003@1460750106009_0003_000001@20:36:56,902@20:37:03,644@object5@1@1024@ FINISHED@6.742
1460750106009_0003_01_000012@1_12@1460750106009_0003@1460750106009_0003_000001@20:36:57,922@20:37:07,730@object3@1@1024@ FINISHED@9.808
1460750106009_0003_01_000013@1_13@1460750106009_0003@1460750106009_0003_000001@20:36:58,949@20:37:06,711@object3@1@1024@ FINISHED@7.762
1460750106009_0003_01_000014@1_14@1460750106009_0003@1460750106009_0003_000001@20:36:59,953@20:37:07,726@object3@1@1024@ FINISHED@7.773
1460750106009_0003_01_000015@1_15@1460750106009_0003@1460750106009_0003_000001@20:37:00,914@20:37:07,559@object5@1@1024@ FINISHED@6.645
1460750106009_0003_01_000016@1_16@1460750106009_0003@1460750106009_0003_000001@20:37:01,916@20:37:08,634@object5@1@1024@ FINISHED@6.718
1460750106009_0003_01_000017@1_17@1460750106009_0003@1460750106009_0003_000001@20:37:02,638@20:37:43,622@object5@1@2048@ FINISHED@40.984
1460750106009_0003_01_000018@1_18@1460750106009_0003@1460750106009_0003_000001@20:37:02,857@20:37:09,537@object6@1@1024@ FINISHED@6.68
1460750106009_0003_01_000019@1_19@1460750106009_0003@1460750106009_0003_000001@20:37:03,858@20:37:10,540@object6@1@1024@ FINISHED@6.682
1460750106009_0003_01_000020@1_20@1460750106009_0003@1460750106009_0003_000001@20:37:04,869@20:37:10,551@object8@1@1024@ FINISHED@5.682
1460750106009_0003_01_000021@1_21@1460750106009_0003@1460750106009_0003_000001@20:37:05,875@20:37:11,784@object8@1@1024@ FINISHED@5.909
1460750106009_0003_01_000022@1_22@1460750106009_0003@1460750106009_0003_000001@20:37:06,712@20:37:13,088@object3@1@1024@ FINISHED@6.376
1460750106009_0003_01_000023@1_23@1460750106009_0003@1460750106009_0003_000001@20:37:07,560@20:37:12,322@object5@1@1024@ FINISHED@4.762
1460750106009_0003_01_000024@1_24@1460750106009_0003@1460750106009_0003_000001@20:37:08,121@20:37:13,563@object7@1@1024@ FINISHED@5.442
1460750106009_0003_01_000025@1_25@1460750106009_0003@1460750106009_0003_000001@20:37:09,125@20:37:14,804@object7@1@1024@ FINISHED@5.679
1460750106009_0003_01_000026@1_26@1460750106009_0003@1460750106009_0003_000001@20:37:10,030@20:37:17,512@object1@1@1024@ FINISHED@7.482
1460750106009_0003_01_000027@1_27@1460750106009_0003@1460750106009_0003_000001@20:37:10,931@20:37:17,110@object2@1@1024@ FINISHED@6.179
1460750106009_0003_01_000028@1_28@1460750106009_0003@1460750106009_0003_000001@20:37:11,933@20:37:18,299@object2@1@1024@ FINISHED@6.366
1460750106009_0003_01_000029@1_29@1460750106009_0003@1460750106009_0003_000001@20:37:12,785@20:37:19,160@object8@1@1024@ FINISHED@6.375
1460750106009_0003_01_000030@1_30@1460750106009_0003@1460750106009_0003_000001@20:37:13,795@20:37:20,369@object8@1@1024@ FINISHED@6.574
1460750106009_0003_01_000031@1_31@1460750106009_0003@1460750106009_0003_000001@20:37:14,796@20:37:21,538@object8@1@1024@ FINISHED@6.742
1460750106009_0003_01_000032@1_32@1460750106009_0003@1460750106009_0003_000001@20:37:15,807@20:37:21,489@object7@1@1024@ FINISHED@5.682
1460750106009_0003_01_000033@1_33@1460750106009_0003@1460750106009_0003_000001@20:37:16,549@20:37:21,472@object6@1@1024@ FINISHED@4.923
1460750106009_0003_01_000034@1_34@1460750106009_0003@1460750106009_0003_000001@20:37:17,514@20:37:23,158@object1@1@1024@ FINISHED@5.644
1460750106009_0003_01_000035@1_35@1460750106009_0003@1460750106009_0003_000001@20:37:18,328@20:37:24,409@object5@1@1024@ FINISHED@6.081
1460750106009_0003_01_000036@1_36@1460750106009_0003@1460750106009_0003_000001@20:37:19,330@20:37:25,856@object5@1@1024@ FINISHED@6.526
1460750106009_0003_01_000037@1_37@1460750106009_0003@1460750106009_0003_000001@20:37:20,304@20:37:26,486@object2@1@1024@ FINISHED@6.182
1460750106009_0003_01_000038@1_38@1460750106009_0003@1460750106009_0003_000001@20:37:20,332@20:37:27,085@object5@1@1024@ FINISHED@6.753
1460750106009_0003_01_000039@1_39@1460750106009_0003@1460750106009_0003_000001@20:37:21,104@20:37:29,500@object3@1@1024@ FINISHED@8.396
1460750106009_0003_01_000040@1_40@1460750106009_0003@1460750106009_0003_000001@20:37:21,307@20:37:28,644@object2@1@1024@ FINISHED@7.337
1460750106009_0003_01_000041@1_41@1460750106009_0003@1460750106009_0003_000001@20:37:22,106@20:37:34,251@object3@1@1024@ FINISHED@12.145
1460750106009_0003_01_000042@1_42@1460750106009_0003@1460750106009_0003_000001@20:37:22,154@20:37:30,003@object1@1@1024@ FINISHED@7.849
1460750106009_0003_01_000043@1_43@1460750106009_0003@1460750106009_0003_000001@20:37:22,876@20:37:34,739@object4@1@1024@ FINISHED@11.863
1460750106009_0003_01_000044@1_44@1460750106009_0003@1460750106009_0003_000001@20:37:23,108@20:37:36,176@object3@1@1024@ FINISHED@13.068
1460750106009_0003_01_000045@1_45@1460750106009_0003@1460750106009_0003_000001@20:37:23,159@20:37:32,383@object1@1@1024@ FINISHED@9.224
1460750106009_0003_01_000046@1_46@1460750106009_0003@1460750106009_0003_000001@20:37:23,491@20:37:31,022@object7@1@1024@ FINISHED@7.531
1460750106009_0003_01_000047@1_47@1460750106009_0003@1460750106009_0003_000001@20:37:23,537@20:37:32,406@object8@1@1024@ FINISHED@8.869
1460750106009_0003_01_000048@1_48@1460750106009_0003@1460750106009_0003_000001@20:37:23,887@20:37:35,420@object4@1@1024@ FINISHED@11.533
1460750106009_0003_01_000049@1_49@1460750106009_0003@1460750106009_0003_000001@20:37:24,110@20:37:37,178@object3@1@1024@ FINISHED@13.068
1460750106009_0003_01_000050@1_50@1460750106009_0003@1460750106009_0003_000001@20:37:24,498@20:37:33,630@object7@1@1024@ FINISHED@9.132
1460750106009_0003_01_000051@1_51@1460750106009_0003@1460750106009_0003_000001@20:37:24,539@20:37:34,428@object8@1@1024@ FINISHED@9.889
1460750106009_0003_01_000052@1_52@1460750106009_0003@1460750106009_0003_000001@20:37:24,849@20:37:34,569@object5@1@1024@ FINISHED@9.72
1460750106009_0003_01_000053@1_53@1460750106009_0003@1460750106009_0003_000001@20:37:24,932@20:37:36,422@object4@1@1024@ FINISHED@11.49
1460750106009_0003_01_000054@1_54@1460750106009_0003@1460750106009_0003_000001@20:37:25,470@20:37:34,143@object2@1@1024@ FINISHED@8.673
1460750106009_0003_01_000055@1_55@1460750106009_0003@1460750106009_0003_000001@20:37:25,475@20:37:33,008@object6@1@1024@ FINISHED@7.533
1460750106009_0003_01_000056@1_56@1460750106009_0003@1460750106009_0003_000001@20:37:25,509@20:37:34,734@object7@1@1024@ FINISHED@9.225
1460750106009_0003_01_000057@1_57@1460750106009_0003@1460750106009_0003_000001@20:37:25,540@20:37:35,216@object8@1@1024@ FINISHED@9.676
1460750106009_0003_01_000058@1_58@1460750106009_0003@1460750106009_0003_000001@20:37:25,857@20:37:35,465@object5@1@1024@ FINISHED@9.608
