time_stamp,cpu_user,cpu_system,io_wait,io_read,io_write,await,util,node_name
12:20:27,2.30,1.26,1.03,2.58,0.10,8.68,4.42,object5
12:20:32,8.80,3.84,3.27,0.00,4.87,24.06,15.12,object5
12:20:37,1.02,0.66,20.06,0.00,28.47,82.13,86.16,object5
12:20:42,1.10,0.30,14.59,0.00,0.00,2274.67,58.72,object5
12:20:47,5.85,3.08,0.30,0.00,0.01,1.33,0.08,object5
12:20:52,9.76,4.62,0.51,0.00,5.66,18.11,1.04,object5
12:20:57,44.40,5.52,1.44,0.00,28.58,72.67,43.04,object5
12:21:02,28.65,2.98,15.56,0.00,0.00,0.00,100.00,object5
12:21:07,27.53,1.83,16.51,0.00,0.04,2940.00,97.44,object5
12:21:12,8.35,2.83,3.78,0.00,0.03,69.23,18.00,object5
12:21:17,83.67,11.04,0.00,0.17,0.08,6.73,4.40,object5
12:21:22,91.57,8.17,0.00,0.00,21.54,47.09,33.04,object5
12:21:27,36.71,5.30,7.03,0.00,19.36,53.95,69.20,object5
12:21:32,17.13,5.05,0.96,0.00,3.23,69.68,4.96,object5
12:21:37,11.30,5.37,1.12,0.00,0.03,72.00,4.32,object5
12:21:42,12.59,4.11,4.93,0.00,7.00,83.52,11.39,object5
12:21:47,55.95,5.48,3.50,0.00,17.87,69.93,42.32,object5
12:21:52,3.07,1.16,2.27,0.00,0.02,260.00,8.96,object5
12:21:57,22.44,4.83,0.05,0.00,3.21,2.84,1.36,object5
12:22:02,12.09,3.42,3.31,0.00,3.24,78.64,16.72,object5
12:22:07,26.89,8.19,16.68,0.00,27.49,63.70,29.52,object5
12:22:12,2.71,2.31,22.13,0.00,0.02,8.00,92.72,object5
