time_stamp,cpu_user,cpu_system,io_wait,io_read,io_write,await,util,node_name
12:20:28,3.53,2.60,1.78,4.52,3.55,10.61,5.51,object4
12:20:33,11.17,6.61,15.83,7.84,22.73,42.38,30.88,object4
12:20:38,1.98,1.67,5.89,10.30,0.00,0.72,17.92,object4
12:20:43,4.01,2.33,16.18,10.65,0.00,16.43,43.04,object4
12:20:48,10.64,7.93,0.36,9.55,0.00,0.57,4.32,object4
12:20:53,12.26,9.75,1.08,9.53,22.50,44.31,10.80,object4
12:20:58,29.01,6.01,44.68,7.90,0.04,22.00,62.72,object4
12:21:03,1.82,0.40,91.72,0.43,9.91,4378.86,100.00,object4
12:21:08,44.47,4.15,34.54,0.90,5.65,2107.22,100.00,object4
12:21:13,23.27,8.27,0.56,18.63,0.18,51.33,11.52,object4
12:21:18,68.26,15.66,0.73,9.32,0.06,2.17,11.12,object4
12:21:23,51.10,9.52,21.14,9.89,24.09,167.75,73.28,object4
12:21:28,22.05,4.41,29.85,9.67,0.07,76.09,66.32,object4
12:21:33,26.93,7.81,1.31,9.60,3.25,4.53,12.80,object4
12:21:38,17.19,7.64,0.47,9.63,0.02,0.87,7.04,object4
12:21:43,71.29,12.09,2.79,9.58,12.15,54.17,19.04,object4
12:21:48,52.85,7.87,22.15,9.91,17.65,468.44,73.84,object4
12:21:53,6.17,2.23,40.79,10.22,0.03,15.75,71.92,object4
12:21:58,30.73,14.90,34.58,9.92,9.66,110.18,71.68,object4
12:22:03,16.37,5.44,43.11,9.70,3.24,138.97,56.56,object4
12:22:08,20.00,6.51,44.44,3.48,17.92,665.51,70.00,object4
12:22:13,2.82,0.20,96.98,0.00,0.40,3782.00,100.00,object4
