time_stamp,cpu_user,cpu_system,io_wait,io_read,io_write,await,util,node_name
12:20:27,3.37,2.49,2.05,3.90,3.14,0.72,5.64,object3
12:20:32,12.01,7.72,2.17,8.91,0.00,0.74,6.56,object3
12:20:37,1.83,2.14,5.24,9.75,14.51,115.33,14.24,object3
12:20:42,0.81,0.41,68.65,0.53,14.12,2109.56,95.52,object3
12:20:47,9.90,6.92,10.31,8.69,0.57,252.37,16.32,object3
12:20:52,13.56,9.13,0.66,9.59,0.00,0.54,4.72,object3
12:20:57,8.58,6.14,4.01,8.99,11.28,11.87,12.72,object3
12:21:02,0.15,0.10,73.52,0.00,0.00,0.00,100.00,object3
12:21:07,0.80,0.25,69.80,0.18,7.00,5228.21,100.00,object3
12:21:12,3.85,3.19,61.46,8.01,17.12,1707.29,85.04,object3
12:21:17,16.74,8.73,0.99,9.78,0.01,1.00,6.39,object3
12:21:22,57.55,10.17,0.32,9.66,0.04,1.45,11.68,object3
12:21:27,32.89,6.89,7.50,9.63,0.08,5.67,15.84,object3
12:21:32,11.07,6.71,1.79,9.58,3.23,2.71,8.32,object3
12:21:37,55.67,11.45,14.10,7.99,2.83,25.23,23.04,object3
12:21:42,33.89,7.76,10.88,9.10,8.74,201.35,28.08,object3
12:21:47,43.40,3.90,52.65,0.07,11.82,5536.68,100.00,object3
12:21:52,1.91,0.80,97.29,0.18,5.80,3626.38,100.08,object3
12:21:57,20.59,7.85,53.04,13.16,13.79,886.66,78.72,object3
12:22:02,8.56,4.13,25.98,11.96,2.06,72.40,36.40,object3
12:22:07,29.08,12.15,18.94,6.60,12.01,227.36,42.56,object3
12:22:12,1.05,0.60,79.17,0.00,0.60,2930.00,100.00,object3
