time_stamp,cpu_user,cpu_system,io_wait,io_read,io_write,await,util,node_name
12:20:23,1.73,0.58,0.03,0.00,0.06,22.02,0.27,object7
12:20:28,7.99,4.02,3.51,0.00,21.29,78.37,20.88,object7
12:20:33,2.23,0.96,19.03,0.00,0.01,4.00,78.00,object7
12:20:38,2.22,0.86,19.93,0.00,0.00,2641.33,80.56,object7
12:20:43,7.35,3.04,0.20,0.00,0.01,1.33,0.08,object7
12:20:48,10.25,4.37,1.06,0.00,8.07,17.38,4.24,object7
12:20:53,5.88,2.99,2.03,0.00,33.03,70.25,11.20,object7
12:20:58,1.71,0.60,23.57,0.00,0.00,0.00,100.00,object7
12:21:03,1.86,0.65,24.65,0.00,0.00,0.00,100.00,object7
12:21:08,2.03,0.91,4.30,0.00,0.01,3440.67,24.56,object7
12:21:13,11.65,3.57,0.26,0.00,0.01,4.00,0.16,object7
12:21:18,84.66,7.32,0.16,0.00,8.09,175.33,8.88,object7
12:21:23,65.37,18.07,0.08,0.00,2.86,1218.24,26.53,object7
12:21:28,27.27,14.90,0.76,0.00,6.66,6.49,6.80,object7
12:21:33,7.60,3.64,0.62,0.00,3.03,5.00,2.64,object7
12:21:38,59.71,5.08,0.05,0.00,0.02,4.00,0.16,object7
12:21:43,53.12,20.36,0.47,0.00,8.30,51.48,23.12,object7
12:21:48,16.39,56.21,6.51,0.00,0.02,6.00,66.72,object7
12:21:53,40.87,19.81,3.03,0.00,18.97,758.17,44.64,object7
12:21:58,13.83,2.40,6.89,0.00,6.44,313.98,34.16,object7
12:22:03,30.73,13.38,0.41,0.00,32.83,194.27,17.20,object7
12:22:08,1.69,28.50,21.24,0.00,0.02,0.00,63.84,object7
